Repository,Repository_owner,Repository_fullname,Is_fork,Parent,Stars,Watchers,Forks,Description,Language,Languages,Topic,Contributors,Open_issues,Open_pull_requests,License,Created,Last_update
freeCodeCamp,freeCodeCamp,freeCodeCamp/freeCodeCamp,False,,364380,364380,31658,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,TypeScript,"['TypeScript', 'JavaScript', 'CSS', 'Dockerfile', 'EJS', 'HTML', 'Shell', 'Less']","['careers', 'certification', 'community', 'curriculum', 'd3', 'education', 'freecodecamp', 'hacktoberfest', 'javascript', 'learn-to-code', 'math', 'nodejs', 'nonprofits', 'programming', 'react', 'teachers']",397,202,63,LICENSE.md,2014-12-24 17:49:19,2023-04-13 10:20:00
free-programming-books,EbookFoundation,EbookFoundation/free-programming-books,False,,275887,275887,54741,:books: Freely available programming books,,[],"['books', 'education', 'hacktoberfest', 'list', 'resource']",430,39,12,LICENSE,2013-10-11 06:50:37,2023-04-13 10:02:33
996.ICU,996icu,996icu/996.ICU,False,,265541,265541,21423,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,,[],[],406,16736,19,LICENSE,2019-03-26 07:31:14,2023-04-13 10:22:53
coding-interview-university,jwasham,jwasham/coding-interview-university,False,,254553,254553,67054,A complete computer science study plan to become a software engineer.,,[],"['algorithm', 'algorithms', 'coding-interview', 'coding-interviews', 'computer-science', 'data-structures', 'interview', 'interview-prep', 'interview-preparation', 'programming-interviews', 'software-engineering', 'study-plan']",278,57,13,LICENSE.txt,2016-06-06 02:34:12,2023-04-13 10:08:04
awesome,sindresorhus,sindresorhus/awesome,False,,248921,248921,25393,😎 Awesome lists about all kinds of interesting topics,,[],"['awesome', 'awesome-list', 'lists', 'resources', 'unicorns']",437,70,44,license,2014-07-11 13:42:37,2023-04-13 10:12:16
developer-roadmap,kamranahmedse,kamranahmedse/developer-roadmap,False,,236726,236726,33633,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",Astro,"['Astro', 'JavaScript', 'TypeScript', 'CSS']","['angular-roadmap', 'backend-roadmap', 'blockchain-roadmap', 'computer-science', 'dba-roadmap', 'developer-roadmap', 'devops-roadmap', 'frontend-roadmap', 'go-roadmap', 'java-roadmap', 'javascript-roadmap', 'nodejs-roadmap', 'python-roadmap', 'qa-roadmap', 'react-roadmap', 'roadmap', 'software-architect-roadmap', 'vue-roadmap']",469,351,118,license,2017-03-15 13:45:52,2023-04-13 10:23:03
public-apis,public-apis,public-apis/public-apis,False,,235881,235881,26796,A collective list of free APIs,Python,"['Python', 'Shell']","['api', 'apis', 'dataset', 'development', 'free', 'list', 'lists', 'open-source', 'public', 'public-api', 'public-apis', 'resources', 'software']",433,181,139,LICENSE,2016-03-20 23:49:42,2023-04-13 10:14:07
system-design-primer,donnemartin,donnemartin/system-design-primer,False,,217502,217502,38667,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,Python,"['Python', 'Shell']","['design', 'design-patterns', 'design-system', 'development', 'interview', 'interview-practice', 'interview-questions', 'programming', 'python', 'system', 'web', 'web-application', 'webapp']",110,372,197,LICENSE.txt,2017-02-26 16:15:28,2023-04-13 10:24:42
react,facebook,facebook/react,False,,205736,205736,42872,The library for web and native user interfaces,JavaScript,"['JavaScript', 'HTML', 'CSS', 'C++', 'TypeScript', 'CoffeeScript', 'C', 'Shell', 'Python', 'Makefile']","['declarative', 'frontend', 'javascript', 'library', 'react', 'ui']",426,1234,275,LICENSE,2013-05-24 16:15:54,2023-04-13 10:18:57
vue,vuejs,vuejs/vue,False,,203151,203151,33586,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",TypeScript,"['TypeScript', 'JavaScript', 'HTML', 'CSS', 'Shell']","['framework', 'frontend', 'javascript', 'vue']",349,629,264,LICENSE,2013-07-29 03:24:51,2023-04-13 10:19:14
tensorflow,tensorflow,tensorflow/tensorflow,False,,173291,173291,88108,An Open Source Machine Learning Framework for Everyone,C++,"['C++', 'Python', 'MLIR', 'Starlark', 'HTML', 'Go', 'C', 'Java', 'Jupyter Notebook', 'Shell', 'Objective-C++', 'CMake', 'Objective-C', 'Smarty', 'Swift', 'Batchfile', 'SourcePawn', 'C#', 'Ruby', 'Perl', 'LLVM', 'Pawn', 'Dockerfile', 'Cython', 'Roff', 'Makefile', 'Vim Snippet']","['deep-learning', 'deep-neural-networks', 'distributed', 'machine-learning', 'ml', 'neural-network', 'python', 'tensorflow']",411,2217,233,LICENSE,2015-11-07 01:19:20,2023-04-13 10:03:39
javascript-algorithms,trekhleb,trekhleb/javascript-algorithms,False,,168404,168404,27638,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,JavaScript,"['JavaScript', 'Shell']","['algorithm', 'algorithms', 'computer-science', 'data-structures', 'interview', 'interview-preparation', 'javascript', 'javascript-algorithms']",192,305,197,LICENSE,2018-03-24 07:47:04,2023-04-13 09:48:06
You-Dont-Know-JS,getify,getify/You-Dont-Know-JS,False,,166696,166696,32416,A book series on JavaScript. @YDKJS on twitter.,,[],"['async', 'book', 'book-series', 'closures', 'education', 'es2015', 'es6', 'javascript', 'learn-to-code', 'programming', 'prototypes', 'training-materials', 'training-providers']",172,132,49,LICENSE.txt,2013-11-16 02:37:24,2023-04-13 08:21:27
awesome-python,vinta,vinta/awesome-python,False,,163835,163835,22926,"A curated list of awesome Python frameworks, libraries, software and resources",Python,"['Python', 'Makefile']","['awesome', 'collections', 'python', 'python-framework', 'python-library', 'python-resources']",364,341,325,LICENSE,2014-06-27 21:00:06,2023-04-13 10:24:45
bootstrap,twbs,twbs/bootstrap,False,,162869,162869,78206,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",JavaScript,"['JavaScript', 'HTML', 'SCSS', 'CSS', 'PowerShell']","['bootstrap', 'css', 'css-framework', 'html', 'javascript', 'sass', 'scss']",367,373,95,LICENSE,2011-07-29 21:19:00,2023-04-13 10:19:03
ohmyzsh,ohmyzsh,ohmyzsh/ohmyzsh,False,,157606,157606,25144,"🙃   A delightful community-driven (with 2,100+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community.",Shell,"['Shell', 'Python', 'Makefile']","['cli', 'cli-app', 'hacktoberfest', 'oh-my-zsh', 'oh-my-zsh-plugin', 'oh-my-zsh-theme', 'ohmyzsh', 'plugin-framework', 'plugins', 'productivity', 'shell', 'terminal', 'theme', 'themes', 'zsh', 'zsh-configuration']",391,613,410,LICENSE.txt,2009-08-28 18:15:37,2023-04-13 10:03:28
Python,TheAlgorithms,TheAlgorithms/Python,False,,157178,157178,39661,All Algorithms implemented in Python,Python,['Python'],"['algorithm', 'algorithm-competitions', 'algorithms-implemented', 'algos', 'community-driven', 'education', 'hacktoberfest', 'interview', 'learn', 'practice', 'python', 'searches', 'sorting-algorithms', 'sorts']",459,151,131,LICENSE.md,2016-07-16 09:44:01,2023-04-13 10:18:25
flutter,flutter,flutter/flutter,False,,152158,152158,25097,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,Dart,"['Dart', 'C++', 'Objective-C', 'Java', 'CMake', 'Shell', 'Ruby', 'HTML', 'JavaScript', 'Swift', 'Batchfile', 'Kotlin', 'C', 'CSS', 'Dockerfile', 'PowerShell', 'GLSL']","['android', 'app-framework', 'cross-platform', 'dart', 'dart-platform', 'desktop', 'flutter', 'flutter-package', 'fuchsia', 'ios', 'linux-desktop', 'macos', 'material-design', 'mobile', 'mobile-development', 'skia', 'web', 'web-framework', 'windows']",386,11506,177,LICENSE,2015-03-06 22:54:58,2023-04-13 10:06:05
gitignore,github,github/gitignore,False,,146805,146805,83744,A collection of useful .gitignore templates,,[],"['git', 'gitignore']",419,404,399,LICENSE,2010-11-08 20:17:14,2023-04-13 09:45:35
vscode,microsoft,microsoft/vscode,False,,144924,144924,25339,Visual Studio Code,TypeScript,"['TypeScript', 'JavaScript', 'CSS', 'HTML', 'Rust', 'Inno Setup', 'Shell', 'Scilab', 'Batchfile', 'PowerShell', 'SCSS', 'Groovy', 'Cuda', 'C++', 'Makefile', 'Python', 'Perl', 'Ruby', 'TeX', 'Objective-C', 'Objective-C++', 'Clojure', 'Handlebars', 'Less', 'PHP', 'Julia', 'Jupyter Notebook', 'Visual Basic .NET', 'Dockerfile', 'C', 'C#', 'Pug', 'Go', 'F#', 'Java', 'CoffeeScript', 'R', 'Roff', 'ShaderLab', 'Dart', 'Swift', 'Lua', 'HLSL', 'Hack']","['editor', 'electron', 'hacktoberfest', 'microsoft', 'typescript', 'visual-studio-code']",345,6754,368,LICENSE.txt,2015-09-03 20:23:38,2023-04-13 09:23:59
computer-science,ossu,ossu/computer-science,False,,137759,137759,17829,:mortar_board: Path to a free self-taught education in Computer Science!,,[],"['awesome-list', 'computer-science', 'courses', 'curriculum']",129,16,0,LICENSE,2014-05-04 00:18:39,2023-04-13 10:25:01
javascript,airbnb,airbnb/javascript,False,,133138,133138,25242,JavaScript Style Guide,JavaScript,['JavaScript'],"['arrow-functions', 'es2015', 'es2016', 'es2017', 'es2018', 'es6', 'eslint', 'javascript', 'linting', 'naming-conventions', 'style-guide', 'style-linter', 'styleguide', 'tc39']",408,161,65,LICENSE.md,2012-11-01 23:13:50,2023-04-13 10:24:10
awesome-selfhosted,awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,False,,127341,127341,7391,A list of Free Software network services and web applications which can be hosted on your own servers,Makefile,['Makefile'],"['awesome', 'awesome-list', 'cloud', 'hosting', 'privacy', 'self-hosted', 'selfhosted']",411,76,25,LICENSE,2015-06-01 02:33:17,2023-04-13 10:14:03
youtube-dl,ytdl-org,ytdl-org/youtube-dl,False,,119485,119485,8883,Command-line program to download videos from YouTube.com and other video sites,Python,"['Python', 'Shell', 'Makefile', 'ActionScript', 'Batchfile']",[],390,4735,910,LICENSE,2010-10-31 14:35:07,2023-04-13 10:16:05
30-seconds-of-code,30-seconds,30-seconds/30-seconds-of-code,False,,110391,110391,11393,Short JavaScript code snippets for all your development needs,JavaScript,['JavaScript'],"['awesome-list', 'education', 'es6-javascript', 'javascript', 'learn-to-code', 'learning-resources', 'nodejs', 'programming', 'snippets', 'snippets-collection']",251,0,0,LICENSE,2017-11-29 17:35:03,2023-04-13 09:22:43
go,golang,golang/go,False,,110212,110212,16224,The Go programming language,Go,"['Go', 'Assembly', 'HTML', 'C', 'Shell', 'Perl', 'JavaScript', 'Python', 'Batchfile', 'Dockerfile', 'C++', 'Makefile', 'Awk', 'Fortran']","['go', 'golang', 'language', 'programming-language']",391,8279,330,LICENSE,2014-08-19 04:33:40,2023-04-13 10:19:12
react-native,facebook,facebook/react-native,False,,108942,108942,23145,A framework for building native applications using React,Java,"['Java', 'C++', 'JavaScript', 'Objective-C', 'Objective-C++', 'Starlark', 'Ruby', 'Kotlin', 'Shell', 'TypeScript', 'CMake', 'C', 'Assembly', 'XSLT', 'HTML', 'Batchfile']","['android', 'app-framework', 'cross-platform', 'ios', 'mobile', 'mobile-development', 'react', 'react-native']",329,2075,297,LICENSE-docs,2015-01-09 18:10:16,2023-04-13 09:37:32
electron,electron,electron/electron,False,,106819,106819,14544,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",C++,"['C++', 'TypeScript', 'Objective-C++', 'JavaScript', 'Python', 'Objective-C', 'HTML', 'Shell', 'Batchfile', 'C', 'CSS', 'PowerShell']","['c-plus-plus', 'chrome', 'css', 'electron', 'html', 'javascript', 'nodejs', 'v8', 'works-with-codespaces']",383,943,104,LICENSE,2013-04-12 01:47:36,2023-04-13 10:18:18
d3,d3,d3/d3,False,,104999,104999,23304,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:",JavaScript,['JavaScript'],"['chart', 'charts', 'data-visualization', 'svg', 'visualization']",120,6,0,LICENSE,2010-09-27 17:22:42,2023-04-13 09:21:40
next.js,vercel,vercel/next.js,False,,104258,104258,23422,The React Framework,JavaScript,"['JavaScript', 'TypeScript', 'Rust', 'CSS', 'SCSS', 'Shell', 'Dockerfile', 'Batchfile', 'Sass']","['blog', 'browser', 'compiler', 'components', 'hybrid', 'nextjs', 'node', 'react', 'server-rendering', 'ssg', 'static', 'static-site-generator', 'universal', 'vercel']",450,1704,272,license.md,2016-10-05 23:32:51,2023-04-13 10:18:47
free-programming-books-zh_CN,justjavac,justjavac/free-programming-books-zh_CN,False,,101677,101677,27398,:books: 免费的计算机编程类中文书籍，欢迎投稿,,[],"['android', 'angular', 'books', 'free', 'ios', 'javascript', 'kotlin', 'pdf', 'programming', 'python', 'react', 'react-native', 'swift', 'vue']",119,27,26,LICENSE,2013-11-04 01:59:19,2023-04-13 10:08:25
awesome-go,avelino,avelino/awesome-go,False,,99743,99743,10876,"A curated list of awesome Go frameworks, libraries and software",Go,['Go'],"['awesome', 'awesome-list', 'go', 'golang', 'golang-library', 'hacktoberfest']",429,149,145,LICENSE,2014-07-06 13:42:15,2023-04-13 09:59:48
axios,axios,axios/axios,False,,99690,99690,10269,Promise based HTTP client for the browser and node.js,JavaScript,"['JavaScript', 'TypeScript', 'HTML', 'Handlebars']","['hacktoberfest', 'http-client', 'javascript', 'nodejs', 'promise']",401,415,50,LICENSE,2014-08-18 22:30:27,2023-04-13 09:53:08
create-react-app,facebook,facebook/create-react-app,False,,99453,99453,26247,Set up a modern web app by running one command.,JavaScript,"['JavaScript', 'Shell', 'CSS', 'HTML', 'AppleScript', 'TypeScript', 'SCSS', 'Sass']","['build-tools', 'react', 'zero-configuration']",455,1981,421,LICENSE,2016-07-17 14:55:11,2023-04-13 09:18:52
project-based-learning,practical-tutorials,practical-tutorials/project-based-learning,False,,97697,97697,13707,Curated list of project-based tutorials,,[],"['beginner-project', 'cpp', 'golang', 'javascript', 'project', 'python', 'tutorial', 'webdevelopment']",100,33,16,LICENSE.md,2017-04-12 05:07:46,2023-04-13 10:22:04
kubernetes,kubernetes,kubernetes/kubernetes,False,,97414,97414,35781,Production-Grade Container Scheduling and Management,Go,"['Go', 'Shell', 'PowerShell', 'Makefile', 'Dockerfile', 'Python', 'C', 'sed', 'Batchfile', 'HTML']","['cncf', 'containers', 'go', 'kubernetes']",358,2448,792,LICENSE,2014-06-06 22:56:04,2023-04-13 10:03:50
the-book-of-secret-knowledge,trimstray,trimstray/the-book-of-secret-knowledge,False,,95104,95104,7179,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",,[],"['awesome', 'awesome-list', 'bsd', 'cheatsheets', 'devops', 'guidelines', 'hacking', 'hacks', 'howtos', 'linux', 'lists', 'manuals', 'one-liners', 'pentesters', 'resources', 'search-engines', 'security', 'security-researchers', 'sysops']",98,44,39,LICENSE.md,2018-06-23 10:43:14,2023-04-13 10:08:27
node,nodejs,nodejs/node,False,,94590,94590,25667,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:,JavaScript,"['JavaScript', 'C++', 'Python', 'C', 'HTML', 'Shell', 'Makefile', 'Batchfile', 'Emacs Lisp', 'Perl', 'R', 'TypeScript', 'Assembly']","['javascript', 'js', 'linux', 'macos', 'mit', 'node', 'nodejs', 'runtime', 'windows']",443,1715,423,LICENSE,2014-11-26 19:57:11,2023-04-13 10:06:07
transformers,huggingface,huggingface/transformers,False,,92674,92674,19538,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",Python,"['Python', 'Cuda', 'Shell', 'Dockerfile', 'C++', 'C', 'Cython', 'Makefile', 'Jsonnet']","['bert', 'deep-learning', 'flax', 'hacktoberfest', 'jax', 'language-model', 'language-models', 'machine-learning', 'model-hub', 'natural-language-processing', 'nlp', 'nlp-library', 'pretrained-models', 'python', 'pytorch', 'pytorch-transformers', 'seq2seq', 'speech-recognition', 'tensorflow', 'transformer']",437,673,141,LICENSE,2018-10-29 13:56:00,2023-04-13 10:14:35
three.js,mrdoob,mrdoob/three.js,False,,90724,90724,34433,JavaScript 3D Library.,JavaScript,"['JavaScript', 'HTML', 'Roff', 'SCSS', 'CSS']","['3d', 'augmented-reality', 'canvas', 'html5', 'javascript', 'svg', 'virtual-reality', 'webaudio', 'webgl', 'webgl2', 'webgpu', 'webxr']",364,492,131,LICENSE,2010-03-23 18:58:01,2023-04-13 10:02:40
TypeScript,microsoft,microsoft/TypeScript,False,,90324,90324,11670,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,TypeScript,"['TypeScript', 'JavaScript', 'Dockerfile', 'Shell']","['javascript', 'language', 'typechecker', 'typescript']",353,6115,250,LICENSE.txt,2014-06-17 15:28:39,2023-04-13 09:44:34
PowerToys,microsoft,microsoft/PowerToys,False,,89454,89454,5161,Windows system utilities to maximize productivity,C#,"['C#', 'C++', 'PowerShell', 'C', 'HTML', 'Batchfile', 'HLSL', 'JavaScript']","['color-picker', 'desktop', 'fancyzones', 'keyboard-manager', 'microsoft-powertoys', 'powerrename', 'powertoys', 'windows']",345,4819,22,LICENSE,2019-05-01 17:44:02,2023-04-13 10:28:56
tech-interview-handbook,yangshun,yangshun/tech-interview-handbook,False,,89363,89363,11678,💯 Curated coding interview preparation materials for busy software engineers,TypeScript,"['TypeScript', 'JavaScript', 'Python', 'HTML', 'CSS']","['algorithm', 'algorithm-interview', 'algorithm-interview-questions', 'algorithms', 'behavioral-interviews', 'coding-interviews', 'interview-practice', 'interview-preparation', 'interview-questions', 'system-design']",136,16,1,LICENSE,2016-07-05 05:00:48,2023-04-13 10:25:25
deno,denoland,denoland/deno,False,,88909,88909,4816,A modern runtime for JavaScript and TypeScript.,Rust,"['Rust', 'JavaScript', 'TypeScript', 'Lua', 'C', 'Dockerfile']","['deno', 'javascript', 'rust', 'typescript']",436,1319,92,LICENSE.md,2018-05-15 01:34:26,2023-04-13 10:27:38
nodebestpractices,goldbergyoni,goldbergyoni/nodebestpractices,False,,88592,88592,9161,:white_check_mark:  The Node.js best practices list (March 2023),JavaScript,"['JavaScript', 'Dockerfile', 'CSS', 'HTML', 'TypeScript']","['best-practices', 'es6', 'eslint', 'express', 'expressjs', 'javascript', 'jest', 'microservices', 'mocha', 'node-js', 'nodejs', 'nodejs-development', 'npm', 'rest', 'style-guide', 'styleguide', 'testing', 'types']",220,41,18,LICENSE,2017-09-15 08:33:19,2023-04-13 10:07:08
terminal,microsoft,microsoft/terminal,False,,88343,88343,7729,"The new Windows Terminal and the original Windows console host, all in the same place!",C++,"['C++', 'C#', 'C', 'PowerShell', 'Batchfile', 'HLSL', 'Python', 'Roff', 'JavaScript', 'HTML']","['cmd', 'command-line', 'console', 'terminal', 'windows-console', 'windows-terminal', 'wsl']",351,1548,56,LICENSE,2017-08-11 18:38:22,2023-04-13 09:57:40
angular,angular,angular/angular,False,,87451,87451,23391,The modern web developer’s platform,TypeScript,"['TypeScript', 'JavaScript', 'Starlark', 'HTML', 'CSS', 'SCSS', 'Shell', 'NASL', 'jq', 'Less']","['angular', 'javascript', 'pwa', 'typescript', 'web', 'web-framework', 'web-performance']",387,1412,196,LICENSE,2014-09-18 16:12:01,2023-04-13 10:24:39
material-ui,mui,mui/material-ui,False,,85776,85776,29546,"MUI Core: Ready-to-use foundational React components, free forever. It includes Material UI, which implements Google's Material Design.",JavaScript,"['JavaScript', 'TypeScript', 'HTML']","['design-systems', 'hacktoberfest', 'javascript', 'material-design', 'react', 'react-components', 'typescript']",421,1436,191,LICENSE,2014-08-18 19:11:54,2023-04-13 09:44:54
